video_id	title	size	category_ratio	views	comments	likes	views_wma	comments_wma	likes_wma
_LzE_yWxdqo	wait for it… 😱🤣 #shorts	11.0	0.29	11186739.0	563.0	466902.0	11052266.142857144	557.7142857142857	464026.3214285714
oq3XzVsARVQ	Alessandro Orsini e Matteo Salvini - cartabianca 03/05/2022	1246.0	0.06	735959.0	4514.0	9643.0	603807.3928571428	3960.8214285714284	8020.607142857143
EgtAN-7VzxM	BOTTINO GIGANTE DI MINERALI IN MINIERA NELLA VITA IN CITTÀ 2! - MINECRAFT Ep.32	1012.5	0.1	296806.0	1107.0	21431.0	293111.5	1109.4642857142858	21322.64285714286
r_RcQ5959t8	Pagate il Free Refill e poi Riempitevi una Tanica Gratis - Detto Fatto Ep.38 - theShow	711.5	0.29	632346.0	1091.0	41739.0	563814.8214285715	1033.7142857142858	38235.892857142855
uswbU5yGcTs	Ligabue - Non cambierei questa vita con nessun'altra (Official video)	112.5	0.2	206074.0	326.0	5219.0	177129.9642857143	299.67857142857144	4907.25
f60fpQMIdxA	Clementino - Radio Black Pulcinella	681.0	0.2	114865.0	572.0	6771.0	100674.92857142857	539.9285714285714	6238.714285714285
8le_FFz1-uI	Perisic-Lautaro: Udinese-Inter 1-2 | Serie A TIM | DAZN Highlights	103.0	0.14	389187.0	558.0	4597.0	388056.75	558.4642857142857	4581.642857142857
XdLZrfFiajw	"NO WAY HOME, la follia di Tom Cruise e i @The Jackal - ""Come Ca**o Hanno Fatto?""⎮ Slim Dogs"	832.5	0.29	181253.0	277.0	13058.0	174019.92857142858	270.75	12785.285714285714
sVL1qeIXXBg	L’AMICIZIA TRA MASCHIO E FEMMINA ESISTE?	19.0	0.1	414066.0	736.0	37383.0	296458.39285714284	522.9642857142857	27118.75
Afmz_B-ZhcE	Nunzio vince grazie a Francesca Tocca 😂 | Reaction Serale Amici 2022 ep.6	1438.5	0.29	194717.0	449.0	7676.0	189297.7857142857	445.9642857142857	7582.928571428572
e-euwzBU7yc	Paranoia	91.5	0.2	495149.0	0.0	22034.0	458020.39285714284	0.0	21683.64285714286
t4-Vf6L63Js	День семидесятый. Беседа с @Alexey Arestovych Алексей Арестович	910.5	0.06	1909485.0	4465.0	306322.0	1888011.1785714286	4523.321428571428	303385.96428571426
bFeC5UBtLZs	REAL MADRID 3-1 MANCHESTER CITY **LOCURA EN EL ESTADIO** DjMaRiiO	274.5	0.14	3827196.0	5016.0	228115.0	3473019.3571428573	4819.25	214254.10714285713
