video_id	title	size	category_ratio	views	comments	likes	views_wma	comments_wma	likes_wma
6q2cMTpUEOQ	Я не бурятка, я русская!	16.0	0.1	3933036	10648	178320	3876437.25	10529.964285714286	175757.14285714287
SgflG4TzZNY	ТОЙХАНА | 2 маусым | 1 СЕРИЯ	741.5	0.29	444702	338	7672	436191.71428571426	335.75	7565.142857142857
p82YhXuWios	Зеленский СОРВАЛСЯ на пресс-конференции в метро Киева	111.0	0.13	1542469	0	16898	1539418.0357142857	0.0	16874.321428571428
tw9WfyAOt0g	Большое интервью акима Алматинской области Каната Бозумбаева	2924.0	0.13	75382	643	1659	74729.82142857143	641.8571428571429	1651.5
lVabp2pq2pM	NURBULLIN - СЕЗІНУ	97.0	0.29	178799	265	2731	155798.25	258.42857142857144	2572.285714285714
bKHCTG_nwoU	Пробуем ЛЮБИМУЮ еду СУПЕРГЕРОЕВ	957.0	0.29	1646925	4402	118430	1598164.2142857143	4341.857142857143	115965.35714285714
-iWBCjdrknE	Дау-дамайсыз: 34 жаста хат танымайды, ал баласын мектепке алмай жатыр...	695.0	0.29	121241	515	1775	118412.17857142857	503.89285714285717	1743.3214285714287
OISqNAdTvFc	Түнгі бардакты жақсы көремін | Sadraddin | TALK LIKE	1851.0	0.13	145081	271	3505	143064.42857142858	268.25	3457.25
qmyMg504otQ	БРАВЛ ТОЛК НА РУССКОМ! ДЖАНЕТ И БОННИ НОВЫЕ БРАВЛЕРЫ! НОВЫЕ ГАДЖЕТЫ! НОВЫЕ СКИНЫ BRAWL STARS	618.0	0.07	1056542	4206	58426	1047482.8571428572	4194.5	58223.357142857145
z2JmKR_STSw	Brawl Stars: Brawl Talk - 2 Brawlers, Bot Drop Game Mode, Sprays, and MORE!	202.0	0.07	10530833	30066	539743	10505721.107142856	30033.571428571428	539419.3928571428
xTiwEJNlTzM	Amre (Бүркіт) -  Осы музыка ұнайды [OFFICIAL AUDIO]	91.5	0.07	4037409	6642	33765	3928261.8928571427	6608.25	33474.67857142857
