video_id	title	size	category_ratio	views	comments	likes	views_wma	comments_wma	likes_wma
fHdU-gzkl-I	ERATOX - Jesteś Mym Nałogiem (Official Video)	102.5	0.26	149919	314	2770	137129.35714285713	308.82142857142856	2662.964285714286
_LzE_yWxdqo	wait for it… 😱🤣 #shorts	11.0	0.28	11186739	563	466903	11052266.142857144	557.7142857142857	464026.4285714286
kdnoxh8vjLo	Życie z traumą przemocy	1084.0	0.11	222676	1662	14498	208888.5357142857	1578.4642857142858	13708.107142857143
760xRU26YNM	PRZERABIAMY POPULARNE HITY MUZYCZNE! (OKI, Mr. Polska, Paris Platynov)	561.0	0.28	204343	447	16842	193857.07142857142	437.4642857142857	16205.642857142857
ZF6ILkIzyFo	Wac Toja - KIELISZKI (Official Video)	89.0	0.26	773815	345	19595	736997.4642857143	339.10714285714283	19309.178571428572
d0oK0XipfTU	Mój dzień z MotoBiedą i POLONEZAMI - Kickster na odcinie #6	532.5	0.02	103606	282	6844	102498.25	280.57142857142856	6798.464285714285
tP0MvwnQr3U	Kinny Zimmer - Jadę nocą na Mazurach 2 ft. Szpaku	77.0	0.26	1423395	1860	62477	1326179.3214285714	1839.107142857143	61110.392857142855
rEx-A26tJ58	Beka z 365 dni	28.5	0.28	183869	55	5467	174583.82142857142	53.142857142857146	5202.25
WJojnQkITtg	Marsz czerwony 1 Maja.	860.0	0.28	151896	2040	6015	130571.25	1807.392857142857	5378.178571428572
tfCTOaou8IU	Misja Futbol #1 | Finał Pucharu Polski, stare koty Ancelottiego, Cash i Zalewski na bokach kadry?	2098.5	0.28	28991	84	1008	28177.571428571428	84.0	991.6428571428571
t4-Vf6L63Js	День семидесятый. Беседа с @Alexey Arestovych Алексей Арестович	910.5	0.06	1909485	4465	306323	1888082.25	4523.321428571428	303387.10714285716
mjtTXlIYnbw	"Prawda Finału! Raków deklasuje Lecha! ""Drużyna oddaje charakter trenera""..."	2290.5	0.28	34038	95	888	33405.607142857145	93.60714285714286	882.1785714285714
Fw8ZJCRK-sY	ZOBACZCIE MOJE NOWE AUTO	535.0	0.11	196022	305	6093	192226.07142857142	301.60714285714283	5971.571428571428
D-Im2mB8btQ	"„Broń, której obecnie nikt inny nie ma"". Co miał na myśli Putin? | GODZINA Z JACKIEM #58"	3141.0	0.06	437472	1422	0	409300.75	1356.9642857142858	0.0
JrrHWYu81iI	WYBACZ MI - Suchary #142	65.5	0.28	168610	220	9426	160467.39285714287	211.78571428571428	9163.5
-EnO5IHKDmE	KANAŁ JAPKOMAN - ZŁODZIEJ I MITOMAN	553.0	0.28	65698	193	7052	61171.53571428572	182.5	6704.428571428572
JzTsOwl1nJQ	7. dzień tygodnia w Radiu ZET. Zaprasza Andrzej Stankiewicz!	1672.5	0.28	65630	531	903	63753.78571428572	528.6428571428571	896.7857142857143
bFFxJS9Qjnw	150 DNI MINECRAFT HARDCORE vs SPEEDRUNNER!	632.5	0.05	167769	778	17623	154966.67857142858	748.5	16985.678571428572
ETmC5qZIQX8	"HIGH League 3 DZIEŃ Z: Denis ""Bad Boy"" Załęcki"	597.5	0.06	598805	1571	26135	569397.6428571428	1524.2857142857142	25302.35714285714
LJenGtkGLeY	rusina - ZEMSTA feat. bary, vkie (🎥: learnhowtohustle/xawito)	118.0	0.26	756581	1349	29407	703570.6785714285	1332.357142857143	28725.64285714286
xQwQojn9Dcw	UPADEK Balotellego - najbardziej SZALONA KARIERA?	802.5	0.06	257215	300	7185	228614.0	277.7142857142857	6661.607142857143
vDHHdq6Cvd0	Dokończ Rysunek	240.5	0.28	388526	838	28791	360051.8214285714	814.4642857142857	27744.678571428572
v-PP9dk4DDg	🅽🅴🆆❤️MAJÓWKA 2022/2023!!!✔❤️😍 (MEGAMIX POMPA MAJÓWKA 2022) ❤️ POSŁUCHAJ TEGO SETA!! 💗NAJLEPSZE HITY!	709.5	0.26	68528	59	1406	66124.67857142857	58.357142857142854	1378.7857142857142
nT3e7zwZJsU	Mentzen odsłania pomnik Morawieckiego	207.0	0.28	453040	1687	18953	446046.75	1673.0714285714287	18694.214285714286
cDV5sVNDDck	JA KONTRA APARAT — problemy nastolatków z urodą | Śmieszne i niezręczne sytuacje od 123GO! CHALLENGE	285.0	0.04	47196	12	1015	44774.57142857143	11.357142857142858	971.3571428571429
Q2UIgJfTBOU	rozpłakałam się...	494.5	0.28	517356	905	35337	511395.4285714286	900.4285714285714	35070.392857142855
rlt4IQQITlY	Ukraina dostała broń przeciw dronom. Jak działa?	142.0	0.02	41685	120	1113	41458.142857142855	118.64285714285714	1108.642857142857
oAyRl0bWRFY	Pan Tadeusz - streszczenie lektury w 9 minut	269.5	0.06	133434	296	4612	132960.25	293.39285714285717	4597.428571428572
sQCof2oeUbA	Borixon - Melodyjki (prod. BAHsick)	73.5	0.26	636421	684	27067	606982.4642857143	675.8928571428571	26683.535714285714
kB12Q0NU7rA	znajomy od martwych żartów 3 gośc. Kacper Błoński	91.5	0.28	133450	312	10109	125230.28571428571	304.2142857142857	9623.785714285714
9cWTQPctB_M	Dziady cz. III - streszczenie lektury w 5 minut	172.5	0.06	117202	326	4867	116571.78571428571	325.07142857142856	4856.25
VMbFg7z7VpI	TO BYŁO ZA MOCNE... XD OGLĄDAMY TIKTOKI	241.5	0.28	80615	49	5182	69320.32142857143	46.142857142857146	4700.928571428572
GmPWPuZp1sA	MUSIAŁYŚMY WEZWAĆ POLICJĘ *TENERYFA VLOG*	684.5	0.11	62757	248	3133	56901.57142857143	234.57142857142858	2908.1785714285716
gRl0LJyG92Q	HIGH League 3: I KONFERENCJA	5698.5	0.28	886296	655	25276	836400.1071428572	604.2857142857143	24879.928571428572
R3GjmkuWuuQ	PODRÓŻ DO NETHERU Z CHOMIK ŚWIR ⛏️ Treasure X Minecraft	347.5	0.28	140457	793	9240	133900.25	766.0714285714286	8933.285714285714
nVeM3AOY2hM	Ciał tych pilotów nie pochowamy, użyźnią naszą ziemię. ​Tak wygląda pole bitwy pod Kijowem	258.0	0.06	406266	1530	3740	379611.64285714284	1451.142857142857	3575.3571428571427
