video_id	title	size	category_ratio	views	comments	likes	views_wma	comments_wma	likes_wma
i0O86g520cs	David Carreira - Noite Inteira (Videoclip Oficial) [prod. Mr Marley]	74.5	0.22	2807831	1229	22327	2771515.8928571427	1225.392857142857	22108.14285714286
cXW7M2TQvQ0	O que aconteceria com entrada de Suécia e Finlândia na Otan	264.0	0.06	420198	1743	19076	410310.03571428574	1727.6785714285713	18894.85714285714
YC6fW0qqDUk	Scroll	79.0	0.22	71520	0	1901	65820.57142857143	0.0	1833.7142857142858
uynLFuuFBps	O meu novo projeto Mercedes 190 om605	125.5	0.01	33754	74	1889	32317.571428571428	72.57142857142857	1844.892857142857
a_0PSZ2S_yw	Overwatch 2 a Pathetic Preview	132.0	0.09	4029439	13247	229000	3910207.0	12996.642857142857	224799.17857142858
lnr1KCWf-J4	UMA HATER FOI NA NOSSA LOJA E NOS FEZ CHORAR - PLANETA DAS GÊMEAS	434.5	0.32	1550291	58	86387	1537085.8214285714	58.0	85797.60714285714
n43oZSY7df0	"Assault ""CARRO FORTE"" - Borges | Orochi | Chefin | Oruam | Bielzin (prod. TKN, Bonk)"	165.5	0.22	19149218	10654	464315	18498376.85714286	10589.892857142857	458017.64285714284
aCZ6aLuyTwM	Meu Cachorro Mágico Concede Desejos | Cachorros Ricos vs Sem Grana vs Giga Ricos, por Desafio Aceito	912.0	0.32	1544566	83	18801	1357336.4285714286	73.82142857142857	16715.60714285714
GsPk03_TqMc	Maria Clara e JP ajudam uma sereia triste | Educação ambiental para crianças ♻️ Dia da Terra 🌎	179.0	0.32	4455377	0	34671	4360479.678571428	0.0	34096.03571428572
FcmUNlgld74	Johnny Depp's friend gets emotional talking about Amber Heard	168.5	0.06	12852115	12307	179485	12539652.92857143	12111.67857142857	175678.14285714287
acMC7bTVcY8	[EPISODE] ‘That That (prod. & ft. SUGA of BTS)’ MV Shoot Sketch - BTS (방탄소년단)	229.0	0.22	6065831	23250	936371	5492908.357142857	22773.464285714286	889956.6071428572
QO7e_RiMVQg	Insane $100,000 Challenge!	293.0	0.09	12542161	23558	557252	12356184.107142856	23233.321428571428	553237.2857142857
YpQ5DEMqoW0	MC MIRELLA E HARRY JOWSEY SE PEGANDO NA MANSÃO EM BEVERLY HILLS !!! |#MatheusMazzafera	269.0	0.08	460663	585	23860	453101.89285714284	572.2142857142857	23501.964285714286
ioHy9bZDLhg	DEI CHUTEIRA DA NIKE PARA TODOS NO TIME?!	706.5	0.1	423313	308	28447	418601.21428571426	305.39285714285717	28194.285714285714
v8MKkbrfL-c	FIQUEI EM UMA DAS SUÍTES MAIS CARAS DO MUNDO!	747.5	0.32	1990192	5085	221052	1979291.8214285714	5072.535714285715	220330.85714285713
