video_id	title	size	category_ratio	views	comments	likes	views_wma	comments_wma	likes_wma
XQwsE3mvBEg	День Победы над россизмом	351.5	0.05	1183438.0	6794.0	49096.0	1160345.6785714286	6802.392857142857	48586.17857142857
GhjhjdMLGyU	ПОМОЙНОЕ ВЕДРО - Т95Е6 - САМЫЕ СЛОЖНЫЕ ОТМЕТКИ СРЕДИ СТ	7330.0	0.15	107233.0	54.0	5179.0	106514.53571428571	53.82142857142857	5172.607142857143
wNy8mtRYxOs	МОТ - По душам (Mood video, 2022)	73.0	0.04	728914.0	242.0	14922.0	534750.7857142857	210.89285714285714	12111.857142857143
KRkYYZqUrYQ	Москва предложила один раз - Отказались! Теперь будет больно...	319.0	0.21	490101.0	1379.0	29706.0	480936.4285714286	1376.392857142857	29349.785714285714
RM5UOyi8W9g	#МОНТЯН В ЭФИРЕ: Восемь лет спустя… 😔	3740.0	0.2						
Z0U07aRv54w	Минеев VS Никулин: ЗАРУБИЛИСЬ НА СЛОВАХ / УГРОЖАЕТ Минееву НОКАУТОМ / СПОР НА МИЛЛИОН | ХукВам	1400.5	0.11	677883.0	2595.0	10252.0	626357.2142857143	2456.6785714285716	9660.035714285714
RqMxClvspj8	#МОНТЯН В ЭФИРЕ: Тихий вторник? 🤔	1988.5	0.2						
oJAkfH-GHKA	ФСЁ ЦЕНЫ НА АВТОРЫНКЕ РУХНУЛИ, СЕГОДНЯ 2022	564.0	0.05	543295.0	1514.0	8353.0	471328.96428571426	1393.857142857143	7730.821428571428
acMC7bTVcY8	[EPISODE] ‘That That (prod. & ft. SUGA of BTS)’ MV Shoot Sketch - BTS (방탄소년단)	229.0	0.04	6066627.0	23250.0	936375.0	5493258.857142857	22773.5	889968.7142857143
t4-Vf6L63Js	День семидесятый. Беседа с @Alexey Arestovych Алексей Арестович	910.5	0.21	1909473.0	4465.0	306322.0	1887860.107142857	4523.321428571428	303385.0
bFeC5UBtLZs	REAL MADRID 3-1 MANCHESTER CITY **LOCURA EN EL ESTADIO** DjMaRiiO	274.5	0.11	3826924.0	5016.0	228112.0	3472729.1428571427	4819.214285714285	214242.60714285713
2k9g9BVPx1k	Я себя знаю! Геннадий Хазанов х Азамат Мусагалиев	752.5	0.12	897792.0	3501.0	27549.0	857141.0357142857	3449.8214285714284	26956.785714285714
TowtJr7kbTc	😱Майнкрафт, но Ты Можешь Съесть Мир..	535.0	0.15	1071681.0	1743.0	94050.0	992321.7857142857	1686.5357142857142	89287.78571428571
85ePZOOfShI	⚡ПІОНТКОВСЬКИЙ: таємні переговори за спиною путіна, Захарова в запої, новий президент рф. Україна 24	1002.0	0.21	1446076.0	3274.0	45278.0	1425076.642857143	3288.75	45020.642857142855
KMeLtkiLEQg	ВЫПАЛ НОВЫЙ БРАВЛЕР ДЖАНЕТ	591.0	0.15	1425619.0	5563.0	78218.0	1351419.3214285714	5397.392857142857	75695.92857142857
LHJOFSPDp24	БИTBA за Украину! 4 мая итоги АЗОВСТАЛЬ Б0Й под землей! Зеленский перешёл в наступление?	174.0	0.11	907111.0	1759.0	39881.0	899917.4285714285	1800.6785714285713	39818.92857142857
yjmFq279JRQ	ВПЕРВЫЕ ЗАПУСТИЛ ИГРУ ВИРУС • Соник .EXE • Sonic Eyx	439.5	0.15	797845.0	4516.0	70659.0	755100.0357142857	4438.0	68758.0
Wgqwxiczq5U	#433 Настоящие, но не боевые.	698.0	0.2	348772.0	5410.0	39189.0	312734.0	5214.785714285715	37051.46428571428
yeQeQnwdQcQ	СУМАСШЕДШИЙ РЕАЛ МАДРИД! Реал Мадрид - Манчестер Сити 3:1 | Обсуждение после матча	3433.0	0.11	67503.0	147.0	4968.0	64937.96428571428	139.85714285714286	4933.035714285715
Mr_P0uopeZM	ГРУЗОВИКИ НА АВТОРЫНКЕ, ЦЕНЫ ВИДЕО 2022	264.0	0.05	84092.0	200.0	2822.0	70063.14285714286	175.35714285714286	2589.035714285714
