video_id	title	size	category_ratio	views	comments	likes	views_wma	comments_wma	likes_wma
zyNUr4LWfoc	No one has seen my real face	580.5	0.03	12220035	21386	391576	11857915.07142857	21116.821428571428	384651.4285714286
OrJ4rPSlrlI	Last City in Europe with No Laws	502.0	0.26	1899312	3614	75184	1714573.7142857143	3308.285714285714	70681.07142857143
bh4pXQZjs_4	VI TESTAR ALLA KORVSTÄLLEN I STOCKHOLM	412.5	0.1	208179	497	7909	199750.9642857143	489.5357142857143	7755.642857142857
hD1YtmKXNb4	$10,000 Every Day You Survive Prison	419.5	0.26	51041254	129860	2697784	49619308.0	127021.39285714286	2653363.8214285714
f-eK1cgzGF8	Annie Lööf tar hänsyn till islamister - Jimmie Åkesson i debatt om korankravallerna	240.5	0.26	97330	361	2047	87425.10714285714	330.14285714285717	1922.3214285714287
zIJEOEZdLzE	Alesso - Words (Feat. Zara Larsson) [Official Music Video]	71.5	0.05	3756745	2266	127689	3505156.3928571427	2205.6428571428573	122006.10714285714
1zHVe3NIZpw	"MÄN (OCH KVINNOR) PÅ TINDER.... ""älskar naturen"""	403.5	0.1	27746	75	1880	27314.071428571428	74.14285714285714	1853.4285714285713
J7D3r5Q2paY	NI HAR INTE ENS BUSSAR I ERAN STAD! *GISSA STADEN*	1416.0	0.1	136972	227	5499	131183.5	219.14285714285714	5361.607142857143
7cK1a9C7nlg	I gave MrBeast a REAL LIGHTSABER and caused a DISASTER!	376.0	0.04	7610870	6149	306575	6976794.821428572	5872.678571428572	292168.21428571426
n49er3bE7ww	JAG GILLAR INTE BILAR PÅ ELMIA...	958.5	0.04	52587	77	1413	51854.71428571428	73.71428571428571	1400.9642857142858
epuGc-ptWmc	VI HAR KÖPT ETT NYTT HEM	850.0	0.21	185456	195	4459	183998.10714285713	192.25	4442.035714285715
9Q71C4IsbZE	dyeing my hair and doing a HUGE MAKEOVER	644.5	0.26	785164	3231	71518	764864.5	3179.535714285714	70213.14285714286
a_0PSZ2S_yw	Overwatch 2 a Pathetic Preview	132.0	0.04	4029439	13247	229001	3910207.0	12996.857142857143	224800.07142857142
S_nyiXUMzdc	SIDEMEN GAME OF LIFE IN REAL LIFE	2292.0	0.26	6295292	6580	278583	6142561.571428572	6523.0	274409.21428571426
bIGDhqY6KpE	How to PROPERLY Install a Quick Release Steering Wheel (with Working Horn)	810.5	0.04	1174263	3262	56890	1132745.4285714286	3200.1428571428573	55825.42857142857
