video_id	title	size	category_ratio	views	comments	likes	views_wma	comments_wma	likes_wma
_LzE_yWxdqo	wait for it… 😱🤣 #shorts	11.0	0.34	11185950.0	563.0	466900.0	11051991.785714285	557.7142857142857	464025.21428571426
SFQzjHRutGk	SURVIVOR 96. BÖLÜM FRAGMANI | İNANILMAZ ANLAR! @Survivor Türkiye ​	50.0	0.34	2267215.0	4221.0	31876.0	2220370.6071428573	4202.25	31629.678571428572
ZgmQBtQSyB8	Şampiyon Trabzonspor! Bitiş düdüğüyle yaşanan anlar #shorts	12.0	0.08	449742.0	808.0	9462.0	445957.21428571426	803.1071428571429	9402.75
uC7A1jtbC6k	MODE XL - PURPLEHEJ (3. Sezon 8.Bölüm)	916.0	0.17	107503.0	821.0	7518.0	101826.14285714286	791.3571428571429	7259.857142857143
bf3R9J-Uv7g	Gözler Yalan Söylemez	67.0	0.17	156614.0	0.0	939.0	135769.10714285713	0.0	825.9285714285714
Im-hm_i_1qc	KONSEYDE OLAY TARTIŞMA! | Survivor All Star 2022 - 95. Bölüm	671.0	0.34	1069549.0	10406.0	11506.0	1022696.3571428572	10267.785714285714	11271.642857142857
66DH_mrLpIs	VARYAG: ‘Nereden Nereye’ Dedirten Bir Hikaye! ‘Hurda’dan Savaş Gemisine	185.5	0.06	393219.0	303.0	3490.0	343511.85714285716	269.60714285714283	3236.3571428571427
gSva10cuutQ	Hawaii vlog	193.0	0.14	2984851.0	17852.0	499876.0	2830479.714285714	17568.464285714286	484248.8214285714
jjY3LDm7AQw	(اكبر لعبة مونوبولي بفلوس حقيقية مع اليوتيوبرز (الفائز يربح 10,000 درهم	471.0	0.14	1752513.0	8150.0	158612.0	1645503.857142857	7992.25	152482.07142857142
6vvQ40PcO3g	TikTok Makyaj Hilelerini Test Ettim!	848.5	0.14	198750.0	495.0	9379.0	190133.4642857143	485.32142857142856	9111.607142857143
W53teWfNYaw	Avrupa hayali, Terim ve Torrent yorumları, FB ve Barça maçları | Kerem Aktürkoğlu | Baş Başa #1	952.0	0.14	244497.0	400.0	10170.0	240408.0	396.0357142857143	10067.214285714286
