video_id	title	size	category_ratio	views	comments	likes	views_wma	comments_wma	likes_wma
M1DIfhAzsWA	Божевільні шабаші на росії. Бандерівці захопили ЦРУ, а шпіони підняли ціни росіянам	324.5	0.18	752486.0	5027.0	72523.0	743099.0357142857	5132.785714285715	72091.67857142857
SUwKZfzqxHo	Хроніки інформаційної війни | Перемогти РФ	361.0	0.24	1388085.0	2349.0	20742.0	1343351.4285714286	2324.6071428571427	20440.178571428572
q-Z4ks7N9lA	КАБИНЕТ ПУТЕШЕСТВЕННИКА! НОВИНКА 2022! 1 СЕРИЯ! ЛУЧШИЕ СЕРИАЛЫ 2022. СЕРИАЛЫ 2022	1332.5	0.07	283573.0	73.0	1269.0	264648.46428571426	71.28571428571429	1223.392857142857
iJLPcmKqJl0	INSTASAMKA - СНОВА? (prod. realmoneyken)	64.5	0.15	2537519.0	4166.0	46903.0	2407019.75	4084.1071428571427	45379.392857142855
RM5UOyi8W9g	#МОНТЯН В ЭФИРЕ: Восемь лет спустя… 😔	3740.0	0.18						
bKHCTG_nwoU	Пробуем ЛЮБИМУЮ еду СУПЕРГЕРОЕВ	957.0	0.11	1646925.0	4402.0	118430.0	1598164.2142857143	4341.857142857143	115966.14285714286
RqMxClvspj8	#МОНТЯН В ЭФИРЕ: Тихий вторник? 🤔	1988.5	0.18						
btOCT2xcdmA	Фашистское государство Россия	79.0	0.24	1926988.0	10625.0	72807.0	1909143.4285714286	10615.892857142857	72660.46428571429
oekocb7Boik	Невзоров. Пропаганда, Страх, мобилизация, парад и очень хороший совет Путину к 9 мая.	373.0	0.24	2212988.0	13271.0	188850.0	2182393.1071428573	13149.57142857143	188033.14285714287
AeNvZiUFBiQ	Сьогодні вперше M270 MLRS відпрацювали по окупантах	12.5	0.24	2147439.0	4230.0	36994.0	2143667.8214285714	4228.0	36985.92857142857
t4-Vf6L63Js	День семидесятый. Беседа с @Alexey Arestovych Алексей Арестович	910.5	0.24	1909485.0	4465.0	306323.0	1888084.357142857	4523.392857142857	303387.53571428574
dTA54srFoI4	Lp. Идеальный МИР #2 ЖИВЫЕ ЛЮДИ • Майнкрафт	514.0	0.07	1200766.0	5360.0	145082.0	1168130.5714285714	5336.392857142857	143137.10714285713
kKREoXVEA_8	Что прячут в гаражах звёзды? ФИЗРУК и МИХАЛЫЧ	860.0	0.18	2215717.0	1900.0	85116.0	2196257.1071428573	1889.892857142857	84682.25
z2JmKR_STSw	Brawl Stars: Brawl Talk - 2 Brawlers, Bot Drop Game Mode, Sprays, and MORE!	202.0	0.07	10530833.0	30066.0	539744.0	10505735.285714285	30033.571428571428	539419.6785714285
W-bDXp11_yU	GULHAR (गुल्हर) | Trailer | Bhargavi Chirmuley | Madhav Abhyankar | Ramesh Chaudhari | 6th May 2022	95.0	0.11	424422.0	27.0	399.0	423286.64285714284	26.892857142857142	374.4642857142857
